"Index"	"Abbreviation"	"OfficialName"	"Equation"	"ValidTarget"	"reconstruction directionality"	"subSystem"	"proteinClass"	"GeneAssociation"	"reaction with marvin charges (pH7)"	"reaction with marvin charges (pH 7.2)"	"DeltaG"	"delta G (pH 7)"	"mM delta G (pH 7)"	"min delta G (pH 7)"	"max delta G (pH 7)"	"delta G (pH 7.2)"	"uncertainty in delta G (pH 7 or pH 7.2)"	"mM delta G (pH 7.2)"	"min delta G (pH 7.2)"	"max delta G (pH 7.2)"	"directionality without uncertainty (pH 7.2)"	"directionality with uncertainty (pH 7.2)"
1498	"LIPACabcpp"	"lipid (cold) A transport via ABC system (periplasm)"	"atp[c] + h2o[c] + lipa_cold[c] --> adp[c] + h[c] + lipa_cold[p] + pi[c]"	"TRUE"	"forward only"	"Lipopolysaccharide Biosynthesis / Recycling"		"b0914"	"atp + h2o + lipa_cold --> adp + h + lipa_cold[p] + pi"	"atp + h2o + lipa_cold --> adp + h + lipa_cold[p] + pi"	-6.7	-6.7	-24.7	-36.4	-12.9	-6.6	2.2	-24.6	-36.3	-12.8	"forward only"	"forward only"
1499	"LIPAHT2ex"	"core oligosaccharide lipid A:hexadecanoate transferase (n-C16:0) (extracellular membrane)"	"[e] : colipa + h + hdca --> h2o + hacolipa"	"TRUE"	"forward only"	"Lipopolysaccharide Biosynthesis / Recycling"		"b0622"	"[e] : colipa[e] + h[e] + hdca[e] --> h2o[e] + hacolipa[e]"	"[e] : colipa[e] + h[e] + hdca[e] --> h2o[e] + hacolipa[e]"	2.1	2.1	6.2	-2	14.4	1.9	2	6	-2.2	14.2	"reversible"	"reversible"
1500	"LIPAHTex"	"Lipid A:hexadecanoate transferase (n-C16:0) (extracellular membrane)"	"[e] : h + hdca + lipa --> h2o + halipa"	"TRUE"	"forward only"	"Lipopolysaccharide Biosynthesis / Recycling"		"b0622"	"[e] : h[e] + hdca[e] + lipa[e] --> h2o[e] + halipa[e]"	"[e] : h[e] + hdca[e] + lipa[e] --> h2o[e] + halipa[e]"	2.1	2.1	6.2	-2	14.4	1.9	2	6	-2.2	14.2	"reversible"	"reversible"
1501	"LIPAtex"	"lipid A transport via vector (periplasm to extracellular)"	"lipa[p] --> lipa[e]"	"TRUE"	"forward only"	"Lipopolysaccharide Biosynthesis / Recycling"			"lipa[p] --> lipa[e]"	"lipa[p] --> lipa[e]"	0	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"
1502	"L-LACD2"	"L-Lactate dehydrogenase (ubiquinone)"	"[c] : lac-L + q8 --> pyr + q8h2"	"TRUE"	"forward only"	"Oxidative Phosphorylation"	"1.1.2.3"	"b3605"	"lac-L + q8 --> pyr + q8h2"	"lac-L + q8 --> pyr + q8h2"	-10.9	-10.9	-10.9	-20	-1.9	-10.9	7.7	-10.9	-20	-1.9	"forward only"	"reversible"
1503	"L-LACD3"	"L-Lactate dehydrogenase (menaquinone)"	"[c] : lac-L + mqn8 --> mql8 + pyr"	"TRUE"	"forward only"	"Oxidative Phosphorylation"	"1.1.2.3"	"b3605"	"lac-L + mqn8 --> mql8 + pyr"	"lac-L + mqn8 --> mql8 + pyr"	-15.4	-15.4	-15.4	-24.5	-6.4	-15.4	8.1	-15.4	-24.4	-6.4	"forward only"	"reversible"
1504	"L-LACt2rpp"	"L-lactate reversible transport via proton symport (periplasm)"	"h[p] + lac-L[p] <==> h[c] + lac-L[c]"	"FALSE"	"reversible"	"Transport, Inner Membrane"		"( b3603  or  b2975 )"	"h[p] + lac-L[p] <==> h + lac-L"	"h[p] + lac-L[p] <==> h + lac-L"	0	0	0.3	-5.2	4.8	0	1.5	0.3	-5.2	4.8	"reversible"	"reversible"
1505	"L-LACtex"	"L-lactate transport via diffusion (extracellular to periplasm)"	"lac-L[e] <==> lac-L[p]"	"FALSE"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"lac-L[e] <==> lac-L[p]"	"lac-L[e] <==> lac-L[p]"	0	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"
1506	"LPADSS"	"Lipid A disaccaride synthase"	"[c] : lipidX + u23ga --> h + lipidAds + udp"	"TRUE"	"forward only"	"Lipopolysaccharide Biosynthesis / Recycling"	"2.4.1.182"	"b0182"	"lipidX + u23ga --> lipidAds + udp"	"lipidX + u23ga --> lipidAds + udp"	-1.4	-1.4	-1.4	-10.4	7.7	-1.4	1.8	-1.4	-10.4	7.7	"reversible"	"reversible"
1507	"LPLIPAL1A120pp"	"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C12:0) (periplasm)"	"[p] : 1ddecg3p + h2o --> ddca + glyc3p + h"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"3.1.1.5"	"b0494"	"[p] : 1ddecg3p[p] + h2o[p] --> ddca[p] + glyc3p[p] + h[p]"	"[p] : 1ddecg3p[p] + h2o[p] --> ddca[p] + glyc3p[p] + h[p]"	-2.1	-2.1	-6.2	-14.4	2	-1.9	2	-6	-14.2	2.2	"reversible"	"reversible"
1508	"LPLIPAL1A140pp"	"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C14:0) (periplasm)"	"[p] : 1tdecg3p + h2o --> glyc3p + h + ttdca"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"3.1.1.5"	"b0494"	"[p] : 1tdecg3p[p] + h2o[p] --> glyc3p[p] + h[p] + ttdca[p]"	"[p] : 1tdecg3p[p] + h2o[p] --> glyc3p[p] + h[p] + ttdca[p]"	-2.1	-2.1	-6.2	-14.4	2	-1.9	2	-6	-14.2	2.2	"reversible"	"reversible"
1509	"LPLIPAL1A141pp"	"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C14:1) (periplasm)"	"[p] : 1tdec7eg3p + h2o --> glyc3p + h + ttdcea"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"3.1.1.5"	"b0494"	"[p] : 1tdec7eg3p[p] + h2o[p] --> glyc3p[p] + h[p] + ttdcea[p]"	"[p] : 1tdec7eg3p[p] + h2o[p] --> glyc3p[p] + h[p] + ttdcea[p]"	-3	-3	-7.1	-15.3	1.1	-2.7	2.3	-6.8	-15	1.4	"reversible"	"reversible"
1510	"LPLIPAL1A160pp"	"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C16:0) (periplasm)"	"[p] : 1hdecg3p + h2o --> glyc3p + h + hdca"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"3.1.1.5"	"b0494"	"[p] : 1hdecg3p[p] + h2o[p] --> glyc3p[p] + h[p] + hdca[p]"	"[p] : 1hdecg3p[p] + h2o[p] --> glyc3p[p] + h[p] + hdca[p]"	-2.1	-2.1	-6.2	-14.4	2	-1.9	2	-6	-14.2	2.2	"reversible"	"reversible"
1511	"LPLIPAL1A161pp"	"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C16:1) (periplasm)"	"[p] : 1hdec9eg3p + h2o --> glyc3p + h + hdcea"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"3.1.1.5"	"b0494"	"[p] : 1hdec9eg3p[p] + h2o[p] --> glyc3p[p] + h[p] + hdcea[p]"	"[p] : 1hdec9eg3p[p] + h2o[p] --> glyc3p[p] + h[p] + hdcea[p]"	-2.1	-2.1	-6.2	-14.4	2	-1.9	2	-6	-14.2	2.2	"reversible"	"reversible"
1512	"LPLIPAL1A180pp"	"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C18:0) (periplasm)"	"[p] : 1odecg3p + h2o --> glyc3p + h + ocdca"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"3.1.1.5"	"b0494"	"[p] : 1odecg3p[p] + h2o[p] --> glyc3p[p] + h[p] + ocdca[p]"	"[p] : 1odecg3p[p] + h2o[p] --> glyc3p[p] + h[p] + ocdca[p]"	-2.1	-2.1	-6.2	-14.4	2	-1.9	2	-6	-14.2	2.2	"reversible"	"reversible"
1513	"LPLIPAL1A181pp"	"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C18:1) (periplasm)"	"[p] : 1odec11eg3p + h2o --> glyc3p + h + ocdcea"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"3.1.1.5"	"b0494"	"[p] : 1odec11eg3p[p] + h2o[p] --> glyc3p[p] + h[p] + ocdcea[p]"	"[p] : 1odec11eg3p[p] + h2o[p] --> glyc3p[p] + h[p] + ocdcea[p]"	-2.1	-2.1	-6.2	-14.4	2	-1.9	2	-6	-14.2	2.2	"reversible"	"reversible"
1514	"LPLIPAL1E120pp"	"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C12:0) (periplasm)"	"[p] : 1agpe120 + h2o --> ddca + g3pe + h"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"3.1.1.5"	"b0494"	"[p] : 1agpe120[p] + h2o[p] --> ddca[p] + g3pe[p] + h[p]"	"[p] : 1agpe120[p] + h2o[p] --> ddca[p] + g3pe[p] + h[p]"	-2.1	-2.1	-6.2	-14.4	2	-1.9	2	-6	-14.2	2.2	"reversible"	"reversible"
1515	"LPLIPAL1E140pp"	"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C14:0) (periplasm)"	"[p] : 1agpe140 + h2o --> g3pe + h + ttdca"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"3.1.1.5"	"b0494"	"[p] : 1agpe140[p] + h2o[p] --> g3pe[p] + h[p] + ttdca[p]"	"[p] : 1agpe140[p] + h2o[p] --> g3pe[p] + h[p] + ttdca[p]"	-2.1	-2.1	-6.2	-14.4	2	-1.9	2	-6	-14.2	2.2	"reversible"	"reversible"
1516	"LPLIPAL1E141pp"	"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C14:1) (periplasm)"	"[p] : 1agpe141 + h2o --> g3pe + h + ttdcea"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"3.1.1.5"	"b0494"	"[p] : 1agpe141[p] + h2o[p] --> g3pe[p] + h[p] + ttdcea[p]"	"[p] : 1agpe141[p] + h2o[p] --> g3pe[p] + h[p] + ttdcea[p]"	-2.1	-2.1	-6.2	-14.4	2	-1.9	2	-6	-14.2	2.2	"reversible"	"reversible"
1517	"LPLIPAL1E160pp"	"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C16:0) (periplasm)"	"[p] : 1agpe160 + h2o --> g3pe + h + hdca"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"3.1.1.5"	"b0494"	"[p] : 1agpe160[p] + h2o[p] --> g3pe[p] + h[p] + hdca[p]"	"[p] : 1agpe160[p] + h2o[p] --> g3pe[p] + h[p] + hdca[p]"	-2.1	-2.1	-6.2	-14.4	2	-1.9	2	-6	-14.2	2.2	"reversible"	"reversible"
1518	"LPLIPAL1E161pp"	"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C16:1) (periplasm)"	"[p] : 1agpe161 + h2o --> g3pe + h + hdcea"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"3.1.1.5"	"b0494"	"[p] : 1agpe161[p] + h2o[p] --> g3pe[p] + h[p] + hdcea[p]"	"[p] : 1agpe161[p] + h2o[p] --> g3pe[p] + h[p] + hdcea[p]"	-2.1	-2.1	-6.2	-14.4	2	-1.9	2	-6	-14.2	2.2	"reversible"	"reversible"
1519	"LPLIPAL1E180pp"	"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C18:0) (periplasm)"	"[p] : 1agpe180 + h2o --> g3pe + h + ocdca"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"3.1.1.5"	"b0494"	"[p] : 1agpe180[p] + h2o[p] --> g3pe[p] + h[p] + ocdca[p]"	"[p] : 1agpe180[p] + h2o[p] --> g3pe[p] + h[p] + ocdca[p]"	-2.1	-2.1	-6.2	-14.4	2	-1.9	2	-6	-14.2	2.2	"reversible"	"reversible"
1520	"LPLIPAL1E181pp"	"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C18:1) (periplasm)"	"[p] : 1agpe181 + h2o --> g3pe + h + ocdcea"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"3.1.1.5"	"b0494"	"[p] : 1agpe181[p] + h2o[p] --> g3pe[p] + h[p] + ocdcea[p]"	"[p] : 1agpe181[p] + h2o[p] --> g3pe[p] + h[p] + ocdcea[p]"	-2.1	-2.1	-6.2	-14.4	2	-1.9	2	-6	-14.2	2.2	"reversible"	"reversible"
1521	"LPLIPAL1G120pp"	"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C12:0) (periplasm)"	"[p] : 1agpg120 + h2o --> ddca + g3pg + h"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"3.1.1.5"	"b0494"	"[p] : 1agpg120[p] + h2o[p] --> ddca[p] + g3pg[p] + h[p]"	"[p] : 1agpg120[p] + h2o[p] --> ddca[p] + g3pg[p] + h[p]"	-2.1	-2.1	-6.2	-14.4	2	-1.9	2	-6	-14.2	2.2	"reversible"	"reversible"
1522	"LPLIPAL1G140pp"	"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C14:0) (periplasm)"	"[p] : 1agpg140 + h2o --> g3pg + h + ttdca"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"3.1.1.5"	"b0494"	"[p] : 1agpg140[p] + h2o[p] --> g3pg[p] + h[p] + ttdca[p]"	"[p] : 1agpg140[p] + h2o[p] --> g3pg[p] + h[p] + ttdca[p]"	-2.1	-2.1	-6.2	-14.4	2	-1.9	2	-6	-14.2	2.2	"reversible"	"reversible"
1523	"LPLIPAL1G141pp"	"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C14:1) (periplasm)"	"[p] : 1agpg141 + h2o --> g3pg + h + ttdcea"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"3.1.1.5"	"b0494"	"[p] : 1agpg141[p] + h2o[p] --> g3pg[p] + h[p] + ttdcea[p]"	"[p] : 1agpg141[p] + h2o[p] --> g3pg[p] + h[p] + ttdcea[p]"	-2.1	-2.1	-6.2	-14.4	2	-1.9	2	-6	-14.2	2.2	"reversible"	"reversible"
1524	"LPLIPAL1G160pp"	"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C16:0) (periplasm)"	"[p] : 1agpg160 + h2o --> g3pg + h + hdca"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"3.1.1.5"	"b0494"	"[p] : 1agpg160[p] + h2o[p] --> g3pg[p] + h[p] + hdca[p]"	"[p] : 1agpg160[p] + h2o[p] --> g3pg[p] + h[p] + hdca[p]"	-2.1	-2.1	-6.2	-14.4	2	-1.9	2	-6	-14.2	2.2	"reversible"	"reversible"
1525	"LPLIPAL1G161pp"	"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C16:1) (periplasm)"	"[p] : 1agpg161 + h2o --> g3pg + h + hdcea"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"3.1.1.5"	"b0494"	"[p] : 1agpg161[p] + h2o[p] --> g3pg[p] + h[p] + hdcea[p]"	"[p] : 1agpg161[p] + h2o[p] --> g3pg[p] + h[p] + hdcea[p]"	-2.1	-2.1	-6.2	-14.4	2	-1.9	2	-6	-14.2	2.2	"reversible"	"reversible"
1526	"LPLIPAL1G180pp"	"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C18:0) (periplasm)"	"[p] : 1agpg180 + h2o --> g3pg + h + ocdca"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"3.1.1.5"	"b0494"	"[p] : 1agpg180[p] + h2o[p] --> g3pg[p] + h[p] + ocdca[p]"	"[p] : 1agpg180[p] + h2o[p] --> g3pg[p] + h[p] + ocdca[p]"	-2.1	-2.1	-6.2	-14.4	2	-1.9	2	-6	-14.2	2.2	"reversible"	"reversible"
1527	"LPLIPAL1G181pp"	"Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C18:1) (periplasm)"	"[p] : 1agpg181 + h2o --> g3pg + h + ocdcea"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"3.1.1.5"	"b0494"	"[p] : 1agpg181[p] + h2o[p] --> g3pg[p] + h[p] + ocdcea[p]"	"[p] : 1agpg181[p] + h2o[p] --> g3pg[p] + h[p] + ocdcea[p]"	-2.1	-2.1	-6.2	-14.4	2	-1.9	2	-6	-14.2	2.2	"reversible"	"reversible"
1528	"LPLIPAL2A120"	"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C12:0)"	"[c] : 2ddecg3p + h2o --> ddca + glyc3p + (2) h"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"3.1.1.5"	"b3825"	"2ddecg3p + h2o --> ddca + glyc3p + h"	"2ddecg3p + h2o --> ddca + glyc3p + h"	-2.1	-2.1	-6.2	-13.5	0	-1.9	2	-6	-13.2	0.3	"reversible"	"reversible"
1529	"LPLIPAL2A140"	"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C14:0)"	"[c] : 2tdecg3p + h2o --> glyc3p + (2) h + ttdca"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"3.1.1.5"	"b3825"	"2tdecg3p + h2o --> glyc3p + h + ttdca"	"2tdecg3p + h2o --> glyc3p + h + ttdca"	-2.1	-2.1	-6.2	-13.5	0	-1.9	2	-6	-13.2	0.3	"reversible"	"reversible"
1530	"LPLIPAL2A141"	"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C14:1)"	"[c] : 2tdec7eg3p + h2o --> glyc3p + (2) h + ttdcea"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"3.1.1.5"	"b3825"	"2tdec7eg3p + h2o --> glyc3p + h + ttdcea"	"2tdec7eg3p + h2o --> glyc3p + h + ttdcea"	-3	-3	-7.1	-14.3	-0.8	-2.7	2.3	-6.8	-14.1	-0.5	"forward only"	"reversible"
1531	"LPLIPAL2A160"	"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C16:0)"	"[c] : 2hdecg3p + h2o --> glyc3p + (2) h + hdca"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"3.1.1.5"	"b3825"	"2hdecg3p + h2o --> glyc3p + h + hdca"	"2hdecg3p + h2o --> glyc3p + h + hdca"	-2.1	-2.1	-6.2	-13.5	0	-1.9	2	-6	-13.2	0.3	"reversible"	"reversible"
1532	"LPLIPAL2A161"	"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C16:1)"	"[c] : 2hdec9eg3p + h2o --> glyc3p + (2) h + hdcea"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"3.1.1.5"	"b3825"	"2hdec9eg3p + h2o --> glyc3p + h + hdcea"	"2hdec9eg3p + h2o --> glyc3p + h + hdcea"	-2.1	-2.1	-6.2	-13.5	0	-1.9	2	-6	-13.2	0.3	"reversible"	"reversible"
1533	"LPLIPAL2A180"	"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C18:0)"	"[c] : 2odecg3p + h2o --> glyc3p + (2) h + ocdca"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"3.1.1.5"	"b3825"	"2odecg3p + h2o --> glyc3p + h + ocdca"	"2odecg3p + h2o --> glyc3p + h + ocdca"	-2.1	-2.1	-6.2	-13.5	0	-1.9	2	-6	-13.2	0.3	"reversible"	"reversible"
1534	"LPLIPAL2A181"	"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C18:1)"	"[c] : 2odec11eg3p + h2o --> glyc3p + (2) h + ocdcea"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"3.1.1.5"	"b3825"	"2odec11eg3p + h2o --> glyc3p + h + ocdcea"	"2odec11eg3p + h2o --> glyc3p + h + ocdcea"	-2.1	-2.1	-6.2	-13.5	0	-1.9	2	-6	-13.2	0.3	"reversible"	"reversible"
1535	"LPLIPAL2ATE120"	"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C12:0)"	"[c] : 2agpe120 + pg120 --> apg120 + g3pe"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"		"b3825"	"2agpe120 + pg120 --> apg120 + g3pe"	"2agpe120 + pg120 --> apg120 + g3pe"	0	0	0	-9	9	0	1.5	0	-9	9	"reversible"	"reversible"
1536	"LPLIPAL2ATE140"	"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C14:0)"	"[c] : 2agpe140 + pg140 --> apg140 + g3pe"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"		"b3825"	"2agpe140 + pg140 --> apg140 + g3pe"	"2agpe140 + pg140 --> apg140 + g3pe"	0	0	0	-9	9	0	1.5	0	-9	9	"reversible"	"reversible"
1537	"LPLIPAL2ATE141"	"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C14:1)"	"[c] : 2agpe141 + pg141 --> apg141 + g3pe"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"		"b3825"	"2agpe141 + pg141 --> apg141 + g3pe"	"2agpe141 + pg141 --> apg141 + g3pe"	0	0	0	-9	9	0	1.5	0	-9	9	"reversible"	"reversible"
1538	"LPLIPAL2ATE160"	"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C16:0)"	"[c] : 2agpe160 + pg160 --> apg160 + g3pe"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"		"b3825"	"2agpe160 + pg160 --> apg160 + g3pe"	"2agpe160 + pg160 --> apg160 + g3pe"	0	0	0	-9	9	0	1.5	0	-9	9	"reversible"	"reversible"
1539	"LPLIPAL2ATE161"	"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C16:1)"	"[c] : 2agpe161 + pg161 --> apg161 + g3pe"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"		"b3825"	"2agpe161 + pg161 --> apg161 + g3pe"	"2agpe161 + pg161 --> apg161 + g3pe"	0	0	0	-9	9	0	1.5	0	-9	9	"reversible"	"reversible"
1540	"LPLIPAL2ATE180"	"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C18:0)"	"[c] : 2agpe180 + pg180 --> apg180 + g3pe"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"		"b3825"	"2agpe180 + pg180 --> apg180 + g3pe"	"2agpe180 + pg180 --> apg180 + g3pe"	0	0	0	-9	9	0	1.5	0	-9	9	"reversible"	"reversible"
1541	"LPLIPAL2ATE181"	"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C18:1)"	"[c] : 2agpe181 + pg181 --> apg181 + g3pe"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"		"b3825"	"2agpe181 + pg181 --> apg181 + g3pe"	"2agpe181 + pg181 --> apg181 + g3pe"	0	0	0	-9	9	0	1.5	0	-9	9	"reversible"	"reversible"
1542	"LPLIPAL2ATG120"	"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C12:0)"	"[c] : 2agpg120 + pg120 --> apg120 + g3pg"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"		"b3825"	"2agpg120 + pg120 --> apg120 + g3pg"	"2agpg120 + pg120 --> apg120 + g3pg"	0	0	0	-9	9	0	1.5	0	-9	9	"reversible"	"reversible"
1543	"LPLIPAL2ATG140"	"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C14:0)"	"[c] : 2agpg140 + pg140 --> apg140 + g3pg"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"		"b3825"	"2agpg140 + pg140 --> apg140 + g3pg"	"2agpg140 + pg140 --> apg140 + g3pg"	0	0	0	-9	9	0	1.5	0	-9	9	"reversible"	"reversible"
1544	"LPLIPAL2ATG141"	"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C14:1)"	"[c] : 2agpg141 + pg141 --> apg141 + g3pg"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"		"b3825"	"2agpg141 + pg141 --> apg141 + g3pg"	"2agpg141 + pg141 --> apg141 + g3pg"	0	0	0	-9	9	0	1.5	0	-9	9	"reversible"	"reversible"
1545	"LPLIPAL2ATG160"	"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C16:0)"	"[c] : 2agpg160 + pg160 --> apg160 + g3pg"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"		"b3825"	"2agpg160 + pg160 --> apg160 + g3pg"	"2agpg160 + pg160 --> apg160 + g3pg"	0	0	0	-9	9	0	1.5	0	-9	9	"reversible"	"reversible"
1546	"LPLIPAL2ATG161"	"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C16:1)"	"[c] : 2agpg161 + pg161 --> apg161 + g3pg"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"		"b3825"	"2agpg161 + pg161 --> apg161 + g3pg"	"2agpg161 + pg161 --> apg161 + g3pg"	0	0	0	-9	9	0	1.5	0	-9	9	"reversible"	"reversible"
1547	"LPLIPAL2ATG180"	"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C18:0)"	"[c] : 2agpg180 + pg180 --> apg180 + g3pg"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"		"b3825"	"2agpg180 + pg180 --> apg180 + g3pg"	"2agpg180 + pg180 --> apg180 + g3pg"	0	0	0	-9	9	0	1.5	0	-9	9	"reversible"	"reversible"
1548	"LPLIPAL2ATG181"	"Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C18:1)"	"[c] : 2agpg181 + pg181 --> apg181 + g3pg"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"		"b3825"	"2agpg181 + pg181 --> apg181 + g3pg"	"2agpg181 + pg181 --> apg181 + g3pg"	0	0	0	-9	9	0	1.5	0	-9	9	"reversible"	"reversible"
1549	"LPLIPAL2E120"	"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C12:0)"	"[c] : 2agpe120 + h2o --> ddca + g3pe + h"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"3.1.1.5"	"b3825"	"2agpe120 + h2o --> ddca + g3pe + h"	"2agpe120 + h2o --> ddca + g3pe + h"	-2.1	-2.1	-6.2	-13.5	0	-1.9	2	-6	-13.2	0.3	"reversible"	"reversible"
1550	"LPLIPAL2E140"	"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C14:0)"	"[c] : 2agpe140 + h2o --> g3pe + h + ttdca"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"3.1.1.5"	"b3825"	"2agpe140 + h2o --> g3pe + h + ttdca"	"2agpe140 + h2o --> g3pe + h + ttdca"	-2.1	-2.1	-6.2	-13.5	0	-1.9	2	-6	-13.2	0.3	"reversible"	"reversible"
1551	"LPLIPAL2E141"	"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C14:1)"	"[c] : 2agpe141 + h2o --> g3pe + h + ttdcea"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"3.1.1.5"	"b3825"	"2agpe141 + h2o --> g3pe + h + ttdcea"	"2agpe141 + h2o --> g3pe + h + ttdcea"	-3	-3	-7.1	-14.3	-0.8	-2.7	2.3	-6.8	-14.1	-0.5	"forward only"	"reversible"
1552	"LPLIPAL2E160"	"Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C16:0)"	"[c] : 2agpe160 + h2o --> g3pe + h + hdca"	"TRUE"	"forward only"	"Glycerophospholipid Metabolism"	"3.1.1.5"	"b3825"	"2agpe160 + h2o --> g3pe + h + hdca"	"2agpe160 + h2o --> g3pe + h + hdca"	-2.1	-2.1	-6.2	-13.5	0	-1.9	2	-6	-13.2	0.3	"reversible"	"reversible"
