"Abbreviation"	"OfficialName"	"Equation"	"subSystem"	"GeneAssociation"	"ValidTarget"	"ValidTarget-test"
"HEXCCOAtx"	"fatty acid intracellular transport"	"hexccoa[c] <==> hexccoa[x]"	"Transport, Peroxisomal"		"TRUE"	"FALSE"
"HEXDPtm"	"all-trans-hexaprenyl diphosphate transport, mitochondrial"	"hexdp[c] <==> hexdp[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"HGNTOR"	"Homogentisate:oxygen 1,2-oxidoreductase (decyclizing)"	"[c] : hgentis + o2 --> 4mlacac + h"	"Tyrosine, Tryptophan, and Phenylalanine Metabolism"		"TRUE"	"FALSE"
"HICITDm"	"homoisocitrate dehydrogenase"	"[m] : hicit + nad <==> h + nadh + oxag"	"Threonine and Lysine Metabolism"	"YIL094C"	"TRUE"	"FALSE"
"HISt2m"	"histidine mitochondrial transport via proton symport"	"h[m] + his-L[m] <==> h[c] + his-L[c]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"HISt2r"	"L-histidine reversible transport via proton symport"	"h[e] + his-L[e] <==> h[c] + his-L[c]"	"Transport, Extracellular"	"YCL025C, YGR191W, YKR039W, YBR069C"	"TRUE"	"FALSE"
"HISt6"	"L-histidine transport in via proton antiport (vacuolar)"	"h[v] + his-L[c] --> h[c] + his-L[v]"	"Transport, Vacuolar"	"YBR293W, YMR088C, YCL069W"	"TRUE"	"FALSE"
"HISTD"	"histidinol dehydrogenase"	"[c] : h2o + histd + (2) nad --> (3) h + his-L + (2) nadh"	"Histidine Metabolism"	"YCL030C"	"TRUE"	"FALSE"
"HISTP"	"histidinol-phosphatase"	"[c] : h2o + hisp --> histd + pi"	"Histidine Metabolism"	"YFR025C"	"TRUE"	"FALSE"
"HISTRS"	"Histidyl-tRNA synthetase"	"[c] : atp + his-L + trnahis --> amp + histrna + ppi"	"tRNA charging"	"YPR033C"	"TRUE"	"FALSE"
"HISTRSm"	"histidyl-tRNA synthetase, mitochondrial"	"[m] : atp + his-L + trnahis --> amp + histrna + ppi"	"tRNA charging"	"YPR033C"	"TRUE"	"FALSE"
"HKYNH"	"3-Hydroxy-L-kynurenine hydrolase"	"[c] : h2o + hLkynr --> 3hanthrn + ala-L"	"Tyrosine, Tryptophan, and Phenylalanine Metabolism"	"YLR231C"	"TRUE"	"FALSE"
"HMBS"	"hydroxymethylbilane synthase"	"[c] : h2o + (4) ppbng --> hmbil + (4) nh4"	"Porphyrin and Chlorophyll Metabolism"	"YDL205C"	"TRUE"	"FALSE"
"HMGCOAR"	"Hydroxymethylglutaryl CoA reductase"	"[c] : coa + mev-R + (2) nadp <==> (2) h + hmgcoa + (2) nadph"	"Sterol Metabolism"	"YML075C, YLR450W"	"TRUE"	"FALSE"
"HMGCOAS"	"Hydroxymethylglutaryl CoA synthase"	"[c] : coa + h + hmgcoa <==> aacoa + accoa + h2o"	"Sterol Metabolism"	"YML126C"	"TRUE"	"FALSE"
"HMGCOASm"	"Hydroxymethylglutaryl CoA synthase, mitochondrial"	"[m] : coa + h + hmgcoa <==> aacoa + accoa + h2o"	"Sterol Metabolism"	"YML126C"	"TRUE"	"FALSE"
"HMGCOAtm"	"Hydroxymethylglutaryl-CoA reversible mitochondrial transport"	"hmgcoa[c] <==> hmgcoa[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"HMPK1"	"hydroxymethylpyrimidine kinase (ATP)"	"[c] : 4ahmmp + atp --> 4ampm + adp + h"	"Thiamine Metabolism"	"YOL055C, YPR121W, YPL258C"	"TRUE"	"FALSE"
"HPPKm"	"2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase, mitochondrial"	"[m] : 2ahhmp + atp --> 2ahhmd + amp + h"	"Folate Metabolism"	"YNL256W"	"TRUE"	"FALSE"
"HPROa"	"L-hydroxyproline reductase (NAD)"	"[c] : 1p3h5c + (2) h + nadh --> 4hpro-LT + nad"	"Arginine and Proline Metabolism"	"YER023W"	"TRUE"	"FALSE"
"HPROb"	"L-hydroxyproline reductase (NADP)"	"[c] : 1p3h5c + (2) h + nadph --> 4hpro-LT + nadp"	"Arginine and Proline Metabolism"	"YER023W"	"TRUE"	"FALSE"
"HPROxm"	"L-hydroxyproline dehydrogenase (NAD), mitochondrial"	"[m] : 4hpro-LT + nad --> 1p3h5c + (2) h + nadh"	"Arginine and Proline Metabolism"	"YHR037W"	"TRUE"	"FALSE"
"HPROym"	"L-hydroxyproline dehydrogenase (NADP), mitochondrial"	"[m] : 4hpro-LT + nadp --> 1p3h5c + (2) h + nadph"	"Arginine and Proline Metabolism"	"YHR037W"	"TRUE"	"FALSE"
"HSDxi"	"homoserine dehydrogenase (NADH), irreversible"	"[c] : aspsa + h + nadh --> hom-L + nad"	"Glycine and Serine Metabolism"	"YJR139C"	"TRUE"	"FALSE"
"HSDyi"	"homoserine dehydrogenase (NADP), irreversible"	"[c] : aspsa + h + nadph --> hom-L + nadp"	"Glycine and Serine Metabolism"	"YJR139C"	"TRUE"	"FALSE"
"HSERTA"	"homoserine O-trans-acetylase"	"[c] : accoa + hom-L <==> achms + coa"	"Methionine Metabolism"	"YNL277W"	"TRUE"	"FALSE"
"HSK"	"homoserine kinase"	"[c] : atp + hom-L --> adp + h + phom"	"Glycine and Serine Metabolism"	"YHR025W"	"TRUE"	"FALSE"
"HSTPT"	"histidinol-phosphate transaminase"	"[c] : glu-L + imacp --> akg + hisp"	"Histidine Metabolism"	"YIL116W"	"TRUE"	"FALSE"
"HXANt2r"	"hypoxanthine reversible transport via proton symport"	"h[e] + hxan[e] <==> h[c] + hxan[c]"	"Transport, Extracellular"		"TRUE"	"FALSE"
"HXPRT"	"hypoxanthine phosphoribosyltransferase (Hypoxanthine)"	"[c] : hxan + prpp --> imp + ppi"	"Nucleotide Salvage Pathway"	"YDR399W"	"TRUE"	"FALSE"
"HYPOE"	"hypothetical enyme"	"[c] : h2o + pyam5p --> pi + pydam"	"Pyridoxine Metabolism"		"TRUE"	"FALSE"
"IAMACt"	"Isoamyl acetate transport (extracellular)"	"iamac[c] --> iamac[e]"	"Transport, Extracellular"		"TRUE"	"FALSE"
"IAMOHt"	"isoamyl alcohol transport (extracellular)"	"iamoh[c] <==> iamoh[e]"	"Transport, Extracellular"		"TRUE"	"FALSE"
"IAMOHtm"	"isoamyl alcohol transport (mitochondrial)"	"iamoh[c] <==> iamoh[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"IBUTACt"	"Isobutyl acetate transport (extracellular)"	"ibutac[c] --> ibutac[e]"	"Transport, Extracellular"		"TRUE"	"FALSE"
"IBUTOHt"	"isobutyl alcohol transport (extracellular)"	"ibutoh[c] <==> ibutoh[e]"	"Transport, Extracellular"		"TRUE"	"FALSE"
"IBUTOHtm"	"isobutyl alcohol transport (mitochondrial)"	"ibutoh[c] <==> ibutoh[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"ICDHxm"	"Isocitrate dehydrogenase (NAD+)"	"[m] : icit + nad --> akg + co2 + nadh"	"Citric Acid Cycle"	"YOR136W+YNL037C"	"TRUE"	"FALSE"
"ICDHy"	"isocitrate dehydrogenase (NADP)"	"[c] : icit + nadp --> akg + co2 + nadph"	"Citric Acid Cycle"	"YLR174W"	"TRUE"	"FALSE"
"ICDHym"	"Isocitrate dehydrogenase (NADP+)"	"[m] : icit + nadp --> akg + co2 + nadph"	"Citric Acid Cycle"	"YDL066W"	"TRUE"	"FALSE"
"ICDHyp"	"Isocitrate dehydrogenase (NADP+)"	"[x] : icit + nadp --> akg + co2 + nadph"	"Citric Acid Cycle"	"YNL009W"	"TRUE"	"FALSE"
"ICL"	"Isocitrate lyase"	"[c] : icit --> glx + succ"	"Anaplerotic reactions"	"YER065C"	"TRUE"	"FALSE"
"ID3ACALDt"	"Indoleacetaldehyde transport (extracellular)"	"id3acald[c] <==> id3acald[e]"	"Transport, Extracellular"		"TRUE"	"FALSE"
"ID3ACALDtm"	"indole-3-acetaldehyde mitochondrial transport via diffusion"	"id3acald[c] <==> id3acald[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"IG3PS"	"Imidazole-glycerol-3-phosphate synthase"	"[c] : gln-L + prlp --> aicar + eig3p + glu-L + h"	"Histidine Metabolism"	"YBR248C"	"TRUE"	"FALSE"
"IGPDH"	"imidazoleglycerol-phosphate dehydratase"	"[c] : eig3p --> h2o + imacp"	"Histidine Metabolism"	"YOR202W"	"TRUE"	"FALSE"
"IGPS"	"indole-3-glycerol-phosphate synthase"	"[c] : 2cpr5p + h --> 3ig3p + co2 + h2o"	"Tyrosine, Tryptophan, and Phenylalanine Metabolism"	"YKL211C"	"TRUE"	"FALSE"
"ILEt2r"	"L-isoleucine reversible transport via proton symport"	"h[e] + ile-L[e] <==> h[c] + ile-L[c]"	"Transport, Extracellular"	"YCL025C, YKR039W, YBR068C, YDR046C, YBR069C"	"TRUE"	"FALSE"
"ILEt6"	"L-isoleucine transport in via proton antiport (vacuolar)"	"h[v] + ile-L[c] --> h[c] + ile-L[v]"	"Transport, Vacuolar"	"YJR001W"	"TRUE"	"FALSE"
"ILEt7"	"L-isoleucine transport out via proton symport, vacuolar"	"h[v] + ile-L[v] --> h[c] + ile-L[c]"	"Transport, Vacuolar"	"YKL146W, YNL101W"	"TRUE"	"FALSE"
"ILETA"	"isoleucine transaminase"	"[c] : akg + ile-L <==> 3mop + glu-L"	"Valine, Leucine, and Isoleucine Metabolism"	"YJR148W"	"TRUE"	"FALSE"
"ILETAm"	"isoleucine transaminase, mitochondrial"	"[m] : akg + ile-L <==> 3mop + glu-L"	"Valine, Leucine, and Isoleucine Metabolism"	"YHR208W"	"TRUE"	"FALSE"
"ILEtmi"	"Isoleucine transport from mitochondria to cytosol"	"ile-L[m] --> ile-L[c]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"ILETRS"	"Isoleucyl-tRNA synthetase"	"[c] : atp + ile-L + trnaile --> amp + iletrna + ppi"	"tRNA charging"	"YBL076C"	"TRUE"	"FALSE"
"ILETRSm"	"isoleucyl-tRNA synthetase, mitochondrial"	"[m] : atp + ile-L + trnaile --> amp + iletrna + ppi"	"tRNA charging"	"YPL040C"	"TRUE"	"FALSE"
"IMPC"	"IMP cyclohydrolase"	"[c] : h2o + imp <==> fprica"	"Purine and Pyrimidine Biosynthesis"	"YLR028C, YMR120C"	"TRUE"	"FALSE"
"IMPD"	"IMP dehydrogenase"	"[c] : h2o + imp + nad --> h + nadh + xmp"	"Purine and Pyrimidine Biosynthesis"	"YLR432W, YAR073W, YAR075W, YML056C, YHR216W"	"TRUE"	"FALSE"
"IND3ACtm"	"indole-3-acetate mitochondrial transport via diffusion"	"ind3ac[c] <==> ind3ac[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"IND3ETHt"	"Tryptophol transport (extracellular"	"ind3eth[c] <==> ind3eth[e]"	"Transport, Extracellular"		"TRUE"	"FALSE"
"IND3ETHtm"	"Tryptophol transport (mitochondrial)"	"ind3eth[c] <==> ind3eth[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"INDPYRD"	"Indole-3-pyruvate decarboxylase"	"[c] : h + indpyr <==> co2 + id3acald"	"Tyrosine, Tryptophan, and Phenylalanine Metabolism"	"YLR044C, YLR134W, YGR087C, YDR380W"	"TRUE"	"FALSE"
"INSK"	"insosine kinase"	"[c] : atp + ins --> adp + h + imp"	"Nucleotide Salvage Pathway"		"TRUE"	"FALSE"
"INSt2"	"inosine transport in via proton symport"	"h[e] + ins[e] --> h[c] + ins[c]"	"Transport, Extracellular"		"TRUE"	"FALSE"
"INSTt2"	"inositol transport in via proton symport"	"h[e] + inost[e] --> h[c] + inost[c]"	"Transport, Extracellular"	"YDR497C, YOL103W"	"TRUE"	"FALSE"
"IPC124PLC_SC"	"inositol phosphorylceramide, ceramide-1 (24C) phospholipase C"	"[c] : h2o + (0.01) ipc124-SC --> cer1_24 + h + mi1p-D"	"Sphingolipid Metabolism"	"YER019W"	"TRUE"	"FALSE"
"IPC126PLC_SC"	"inositol phosphorylceramide, ceramide-1 (26C) phospholipase C"	"[c] : h2o + (0.01) ipc126-SC --> cer1_26 + h + mi1p-D"	"Sphingolipid Metabolism"	"YER019W"	"TRUE"	"FALSE"
"IPC224PLC_SC"	"inositol phosphorylceramide, ceramide-2 (24C) phospholipase C"	"[c] : h2o + (0.01) ipc224-SC --> cer2_24 + h + mi1p-D"	"Sphingolipid Metabolism"	"YER019W"	"TRUE"	"FALSE"
"IPC226PLC_SC"	"inositol phosphorylceramide, ceramide-2 (26C) phospholipase C"	"[c] : h2o + (0.01) ipc226-SC --> cer2_26 + h + mi1p-D"	"Sphingolipid Metabolism"	"YER019W"	"TRUE"	"FALSE"
"IPC324PLC_SC"	"inositol phosphorylceramide, ceramide-3 (24C) phospholipase C"	"[c] : h2o + (0.01) ipc324-SC --> cer3_24 + h + mi1p-D"	"Sphingolipid Metabolism"	"YER019W"	"TRUE"	"FALSE"
"IPC326PLC_SC"	"inositol phosphorylceramide, ceramide-3 (26C) phospholipase C"	"[c] : h2o + (0.01) ipc326-SC --> cer3_26 + h + mi1p-D"	"Sphingolipid Metabolism"	"YER019W"	"TRUE"	"FALSE"
"IPCS124_SC"	"Inositol phosphorylceramide synthase (ceramide-1, 24C), yeast-specific"	"[c] : cer1_24 + (0.01) ptd1ino-SC --> (0.01) 12dgr-SC + (0.01) ipc124-SC"	"Sphingolipid Metabolism"	"YKL004W"	"TRUE"	"FALSE"
"IPCS126_SC"	"Inositol phosphorylceramide synthase (ceramide-1, 26C), yeast-specific"	"[c] : cer1_26 + (0.01) ptd1ino-SC --> (0.01) 12dgr-SC + (0.01) ipc126-SC"	"Sphingolipid Metabolism"	"YKL004W"	"TRUE"	"FALSE"
"IPCS224_SC"	"Inositol phosphorylceramide synthase (ceramide-2, 24C), yeast-specific"	"[c] : cer2_24 + (0.01) ptd1ino-SC --> (0.01) 12dgr-SC + (0.01) ipc224-SC"	"Sphingolipid Metabolism"	"YKL004W"	"TRUE"	"FALSE"
"IPCS226_SC"	"Inositol phosphoryceramide synthase (ceramide-2, 26C), yeast-specific"	"[c] : cer2_26 + (0.01) ptd1ino-SC --> (0.01) 12dgr-SC + (0.01) ipc226-SC"	"Sphingolipid Metabolism"	"YKL004W"	"TRUE"	"FALSE"
"IPCS324_SC"	"Inositol phosphorylceramide synthase (ceramide-3, 24C), yeast-specific"	"[c] : cer3_24 + (0.01) ptd1ino-SC --> (0.01) 12dgr-SC + (0.01) ipc324-SC"	"Sphingolipid Metabolism"	"YKL004W"	"TRUE"	"FALSE"
"IPCS326_SC"	"Inositol phosphorylceramide synthase (ceramide-3, 26C), yeast-specific"	"[c] : cer3_26 + (0.01) ptd1ino-SC --> (0.01) 12dgr-SC + (0.01) ipc326-SC"	"Sphingolipid Metabolism"	"YKL004W"	"TRUE"	"FALSE"
"IPDDI"	"isopentenyl-diphosphate D-isomerase"	"[c] : ipdp <==> dmpp"	"Sterol Metabolism"	"YPL117C"	"TRUE"	"FALSE"
"IPDPtm"	"Isopentenyl diphosphate transport, mitochondrial"	"ipdp[c] <==> ipdp[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"IPMD"	"3-isopropylmalate dehydrogenase"	"[c] : 3c2hmp + nad --> 3c4mop + h + nadh"	"Valine, Leucine, and Isoleucine Metabolism"	"YCL018W"	"TRUE"	"FALSE"
"IPPMIa"	"3-isopropylmalate dehydratase"	"[c] : 3c2hmp <==> 2ippm + h2o"	"Valine, Leucine, and Isoleucine Metabolism"	"YGL009C"	"TRUE"	"FALSE"
"IPPMIb"	"2-isopropylmalate hydratase"	"[c] : 2ippm + h2o <==> 3c3hmp"	"Valine, Leucine, and Isoleucine Metabolism"	"YGL009C"	"TRUE"	"FALSE"
"IPPS"	"2-isopropylmalate synthase"	"[c] : 3mob + accoa + h2o --> 3c3hmp + coa + h"	"Valine, Leucine, and Isoleucine Metabolism"	"YNL104C, YOR108W"	"TRUE"	"FALSE"
"IPPSm"	"2-isopropylmalate synthase, mitochondrial"	"[m] : 3mob + accoa + h2o --> 3c3hmp + coa + h"	"Valine, Leucine, and Isoleucine Metabolism"	"YNL104C"	"TRUE"	"FALSE"
"ITCOALm"	"Itaconate--CoA ligase (ADP-forming), mitochondrial"	"[m] : atp + coa + itacon <==> adp + itaccoa + pi"	"Citric Acid Cycle"	"YGR244C+YOR142W"	"TRUE"	"FALSE"
"KARA1im"	"acetohydroxy acid isomeroreductase, mitochondrial"	"[m] : alac-S + h + nadph --> 23dhmb + nadp"	"Valine, Leucine, and Isoleucine Metabolism"	"YLR355C"	"TRUE"	"FALSE"
"KARA2im"	"ketol-acid reductoisomerase (2-Aceto-2-hydroxybutanoate), mitochondrial"	"[m] : 2ahbut + h + nadph --> 23dhmp + nadp"	"Valine, Leucine, and Isoleucine Metabolism"	"YLR355C"	"TRUE"	"FALSE"
"Kt2r"	"potassium reversible transport  via proton symport"	"h[e] + k[e] <==> h[c] + k[c]"	"Transport, Extracellular"		"TRUE"	"FALSE"
"KYN"	"kynureninase"	"[c] : Lkynr + h2o --> ala-L + anth + h"	"Tyrosine, Tryptophan, and Phenylalanine Metabolism"	"YLR231C"	"TRUE"	"FALSE"
"KYN3OX"	"kynurenine 3-monooxygenase"	"[c] : Lkynr + h + nadph + o2 --> h2o + hLkynr + nadp"	"Tyrosine, Tryptophan, and Phenylalanine Metabolism"	"YBL098W"	"TRUE"	"FALSE"
"L_LACD2cm"	"L-Lactate dehydrogenase, cytosolic/mitochondrial"	"(2) ficytc[m] + lac-L[c] --> (2) focytc[m] + pyr[c]"	"Pyruvate Metabolism"	"YJR048W, YEL039C, YML054C"	"TRUE"	"FALSE"
"L_LACt2r"	"L-lactate reversible transport via proton symport"	"h[e] + lac-L[e] <==> h[c] + lac-L[c]"	"Transport, Extracellular"	"YKL217W"	"TRUE"	"FALSE"
"L_LACtm"	"L-lactate transport, mitochondrial"	"h[c] + lac-L[c] <==> h[m] + lac-L[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"LALDO3"	"L-Lactaldehyde:NADP+ 1-oxidoreductase"	"[c] : h + mthgxl + nadph --> lald-L + nadp"	"Alternate Carbon Metabolism"	"YHR104W, YOL151W"	"TRUE"	"FALSE"
"LANOSTAT_SC"	"Acyl-CoA:lanosterol acyltransferase, yeast-specific"	"[c] : (0.655) hdcoa + (0.01) hexccoa + (0.01) lanost + (0.27) odecoa + (0.02) pmtcoa + (0.03) stcoa + (0.015) tdcoa --> coa + (0.01) lanostest-SC"	"Sterol Metabolism"	"YCR048W"	"TRUE"	"FALSE"
"LANOSTESTH_SC"	"lanosterol ester hydrolase, yeast-specific"	"[c] : h2o + (0.01) lanostest-SC --> h + (0.02) hdca + (0.655) hdcea + (0.01) hexc + (0.01) lanost + (0.03) ocdca + (0.27) ocdcea + (0.015) ttdca"	"Sterol Metabolism"	"YKL140W, YLL012W"	"TRUE"	"FALSE"
"LANOSTESTH_SCe"	"lanosterol ester hydrolase, yeast-specific (extracellular)"	"[e] : h2o + (0.01) lanostest-SC --> h + (0.02) hdca + (0.655) hdcea + (0.01) hexc + (0.01) lanost + (0.03) ocdca + (0.27) ocdcea + (0.015) ttdca"	"Sterol Metabolism"	"YLR020C"	"TRUE"	"FALSE"
"LANOSTt"	"lanosterol reversible transport"	"lanost[e] <==> lanost[c]"	"Transport, Extracellular"	"YOR011W, YIL013C"	"TRUE"	"FALSE"
"LCADi"	"lactaldehyde dehydrogenase"	"[c] : h2o + lald-L + nad --> (2) h + lac-L + nadh"	"Alternate Carbon Metabolism"		"TRUE"	"FALSE"
"LCYSTintv"	"L-cystine transport via proton symport (vacuolar)"	"Lcystin[v] + h[v] --> Lcystin[c] + h[c]"	"Transport, Vacuolar"	"YCR075C"	"TRUE"	"FALSE"
"LEUt2r"	"L-leucine reversible transport via proton symport"	"h[e] + leu-L[e] <==> h[c] + leu-L[c]"	"Transport, Extracellular"	"YCL025C, YDR508C, YKR039W, YBR068C, YDR046C, YBR069C"	"TRUE"	"FALSE"
"LEUt6"	"L-leucine transport in via proton antiport (vacuolar)"	"h[v] + leu-L[c] --> h[c] + leu-L[v]"	"Transport, Vacuolar"	"YJR001W"	"TRUE"	"FALSE"
"LEUt7"	"L-leucine transport out via proton symport, vacuolar"	"h[v] + leu-L[v] --> h[c] + leu-L[c]"	"Transport, Vacuolar"	"YKL146W, YNL101W"	"TRUE"	"FALSE"
"LEUTA"	"leucine transaminase"	"[c] : akg + leu-L <==> 4mop + glu-L"	"Valine, Leucine, and Isoleucine Metabolism"	"YJR148W"	"TRUE"	"FALSE"
"LEUTAm"	"leucine transaminase, mitochondrial"	"[m] : akg + leu-L <==> 4mop + glu-L"	"Valine, Leucine, and Isoleucine Metabolism"	"YHR208W"	"TRUE"	"FALSE"
"LEUTRS"	"Leucyl-tRNA synthetase"	"[c] : atp + leu-L + trnaleu --> amp + leutrna + ppi"	"tRNA charging"	"YPL160W"	"TRUE"	"FALSE"
"LEUTRSm"	"leucyl-tRNA synthetase, mitochondrial"	"[m] : atp + leu-L + trnaleu --> amp + leutrna + ppi"	"tRNA charging"	"YLR382C"	"TRUE"	"FALSE"
"LGTHL"	"lactoylglutathione lyase"	"[c] : gthrd + mthgxl --> lgt-S"	"Alternate Carbon Metabolism"	"YML004C"	"TRUE"	"FALSE"
"LNS14DM"	"cytochrome P450 lanosterol 14-alpha-demethylase (NADP)"	"[c] : (2) h + lanost + (3) nadph + (3) o2 --> 44mctr + for + (4) h2o + (3) nadp"	"Sterol Metabolism"	"YHR007C, YHR042W"	"TRUE"	"FALSE"
"LNS14DMx"	"cytochrome P450 lanosterol 14-alpha-demethylase (NAD)"	"[c] : (2) h + lanost + (3) nadh + (3) o2 --> 44mctr + for + (4) h2o + (3) nad"	"Sterol Metabolism"	"YHR007C, YNL111C, YKL150W, YIL043C"	"TRUE"	"FALSE"
"LNSTLS"	"lanosterol synthase"	"[c] : Ssq23epx --> lanost"	"Sterol Metabolism"	"YHR072W"	"TRUE"	"FALSE"
"LPCAT_SC"	"Lyso-phosphatidylcholine acyltransferase acyltransferase, yeast-specific"	"[c] : (0.01) 1agpc-SC + (0.02) dcacoa + (0.06) ddcacoa + (0.17) hdcoa + (0.09) ocdycacoa + (0.24) odecoa + (0.27) pmtcoa + (0.05) stcoa + (0.1) tdcoa --> coa + (0.01) pc-SC"	"Phospholipid Biosynthesis"	"YPR140W"	"TRUE"	"FALSE"
"LPP_SC"	"lipid phosphate phosphatase, yeast-specific"	"[c] : (0.01) dagpy-SC + h2o --> h + (0.01) pa-SC + pi"	"Phospholipid Biosynthesis"	"YDR503C, YDR284C"	"TRUE"	"FALSE"
"LSERDHr"	"L-serine dehydrogenase"	"[c] : nadp + ser-L <==> 2amsa + h + nadph"	"Glycine and Serine Metabolism"	"YMR226C"	"TRUE"	"FALSE"
"LYSt2m"	"Lysine mitochondrial transport via proton symport"	"h[c] + lys-L[c] <==> h[m] + lys-L[m]"	"Transport, Mitochondrial"		"TRUE"	"FALSE"
"LYSt2r"	"L-lysine reversible transport via proton symport"	"h[e] + lys-L[e] <==> h[c] + lys-L[c]"	"Transport, Extracellular"	"YKR039W, YNL268W"	"TRUE"	"FALSE"
"LYSt6"	"L-lysine transport in via proton antiport (vacuolar)"	"h[v] + lys-L[c] --> h[c] + lys-L[v]"	"Transport, Vacuolar"	"YBR293W, YMR088C, YCL069W"	"TRUE"	"FALSE"
"LYSTRS"	"Lysyl-tRNA synthetase"	"[c] : atp + lys-L + trnalys --> amp + lystrna + ppi"	"tRNA charging"	"YDR037W"	"TRUE"	"FALSE"
"LYSTRSm"	"Lysyl-tRNA synthetase, mitochondrial"	"[m] : atp + lys-L + trnalys --> amp + lystrna + ppi"	"tRNA charging"	"YNL073W"	"TRUE"	"FALSE"
"MACACI"	"maleylacetoacetate isomerase"	"[c] : 4mlacac --> 4fumacac"	"Tyrosine, Tryptophan, and Phenylalanine Metabolism"		"TRUE"	"FALSE"
"MALOAAtp"	"malate/oxaloacetate shuttle"	"mal-L[x] + oaa[c] <==> mal-L[c] + oaa[x]"	"Transport, Peroxisomal"		"TRUE"	"FALSE"
"MALS"	"malate synthase"	"[c] : accoa + glx + h2o --> coa + h + mal-L"	"Anaplerotic Reactions"	"YIR031C, YNL117W"	"TRUE"	"FALSE"
"MALSp"	"malate synthase"	"[x] : accoa + glx + h2o --> coa + h + mal-L"	"Anaplerotic reactions"	"YIR031C, YNL117W"	"TRUE"	"FALSE"
"MALT"	"alpha-glucosidase"	"[c] : h2o + malt --> (2) glc-D"	"Galactose metabolism"	"YBR299W, YGR292W, YGR287C, YJL221C, YJL216C, YIL172C"	"TRUE"	"FALSE"
"MALt2r"	"L-malate reversible transport via proton symport"	"h[e] + mal-L[e] <==> h[c] + mal-L[c]"	"Transport, Extracellular"		"TRUE"	"FALSE"
"MALtm"	"malate transport, mitochondrial"	"mal-L[c] + pi[m] <==> mal-L[m] + pi[c]"	"Transport, Mitochondrial"	"YLR348C"	"TRUE"	"FALSE"
"MALTt2"	"maltose transport in via proton symport"	"h[e] + malt[e] --> h[c] + malt[c]"	"Transport, Extracellular"	"YJR160C, YDL247W, YBR298C, YGR289C"	"TRUE"	"FALSE"
"MAN1PT"	"mannose-1-phosphate guanylyltransferase"	"[c] : gtp + h + man1p --> gdpmann + ppi"	"Fructose and Mannose Metabolism"	"YDL055C"	"TRUE"	"FALSE"
"MAN6PI"	"mannose-6-phosphate isomerase"	"[c] : man6p <==> f6p"	"Fructose and Mannose Metabolism"	"YER003C"	"TRUE"	"FALSE"
"MANNANter"	"mannan endoplasmic reticulum transport via diffusion"	"mannan[c] <==> mannan[r]"	"Transport, Endoplasmic Reticular"		"TRUE"	"FALSE"
"MANt2"	"D-mannose transport in via proton symport"	"h[e] + man[e] --> h[c] + man[c]"	"Transport, Extracellular"	"YJR158W, YOL156W, YMR011W, YDL245C, YNR072W, YEL069C, YHR096C, YDR345C, YHR092C, YHR094C, YDR342C, YFL011W, YJL214W, YDR343C, YJL219W"	"TRUE"	"FALSE"
"MCITDm"	"2-methylcitrate dehydratase, mitochondrial"	"[m] : hcit <==> b124tc + h2o"	"Threonine and Lysine Metabolism"		"TRUE"	"FALSE"
"MCITL2m"	"methylisocitrate lyase"	"[m] : micit --> pyr + succ"	"Anaplerotic reactions"	"YPR006C"	"TRUE"	"FALSE"
"MCITSm"	"2-methylcitrate synthase"	"[m] : h2o + oaa + ppcoa --> 2mcit + coa + h"	"Anaplerotic reactions"	"YPR001W"	"TRUE"	"FALSE"
"MCOATA"	"Malonyl-CoA-ACP transacylase"	"[c] : ACP + malcoa <==> coa + malACP"	"Fatty Acid  Biosynthesis"	"YKL182W+YPL231W"	"TRUE"	"FALSE"
"MCOATAm"	"Malonyl-CoA-ACP transacylase, mitochondrial"	"[m] : ACP + malcoa <==> coa + malACP"	"Fatty Acid  Biosynthesis"	"YHR067W, YKL192C, YKL055C, YOR221C, YBR026C, YER061C"	"TRUE"	"FALSE"
"MDH"	"malate dehydrogenase"	"[c] : mal-L + nad <==> h + nadh + oaa"	"Oxidative Phosphorylation"	"YOL126C"	"TRUE"	"FALSE"
"MDHm"	"malate dehydrogenase, mitochondrial"	"[m] : mal-L + nad <==> h + nadh + oaa"	"Oxidative Phosphorylation"	"YKL085W"	"TRUE"	"FALSE"
"MDHp"	"malate dehydrogenase, peroxisomal"	"[x] : mal-L + nad <==> h + nadh + oaa"	"Oxidative Phosphorylation"	"YDL078C"	"TRUE"	"FALSE"
"MDRPD"	"5-Methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase"	"[c] : 5mdru1p --> dkmpp + h2o"	"Methionine Metabolism"		"TRUE"	"FALSE"
